seed,score,num_steps
7993,4807,1000
7994,6767,1000
7995,2847,1000
7996,3057,1000
7997,5857,1000
7998,3827,1000
7999,4317,1000
8000,5857,1000
8001,5787,1000
8002,4527,1000
8003,3757,1000
8004,5087,1000
8005,3967,1000
8006,2567,1000
8007,2987,1000
8008,3197,1000
8009,3267,1000
8010,1587,1000
8011,3967,1000
8012,2847,1000
8013,3687,1000
8014,5507,1000
8015,4247,1000
8016,3967,1000
8017,1797,1000
8018,2707,1000
8019,4527,1000
8020,3477,1000
8021,3897,1000
8022,2217,1000
8023,1937,494
8024,4177,1000
